source_file	target_course	field	raw_text	required_course_key	reason
cba_curriculum_2025.org	COBA 430	prereq_all	acct302, acct304, acct401, acct403, acct405, econ308, econ314	ECON308	target course not mapped to any curriculum
cba_curriculum_2025.org	COBA 430	prereq_all	acct302, acct304, acct401, acct403, acct405, econ308, econ314	ECON314	target course not mapped to any curriculum
cba_curriculum_2025.org	BFIN 404	prereq_all	All 300-level BFIN Courses	ALL300	required course not mapped to import rows
cba_curriculum_2025.org	BFIN 412	prereq_all	All 300-level BFIN courses	ALL300	required course not mapped to import rows
cba_curriculum_2025.org	ECON 203	prereq_all	Math 101 and 102	AND102	required course not mapped to import rows
cba_curriculum_2025.org	ECON 404	prereq_all	econ202, econ307	ECON202	target course not mapped to any curriculum
cba_curriculum_2025.org	ECON 404	prereq_all	econ202, econ307	ECON307	target course not mapped to any curriculum
cba_curriculum_2025.org	PADM 304	prereq_all	padm201, padm202 and Econ 201	ECON201	required course not mapped to import rows
cba_curriculum_2025.org	PADM 406	prereq_all	padm311	PADM311	target course not mapped to any curriculum
cba_curriculum_2025.org	PADM 420	prerequisites	Senior Standing		no course reference parsed
cba_curriculum_2025.org	PADM 434	prerequisites	Completion of Upper Junior year courses		no course reference parsed
ced_curriculum_2025.org	EYED 403	prerequisites	Senior standing. All 3rd year courses must be cleared.		no course reference parsed
ced_curriculum_2025.org	ECED 201	prereq_all	engl102, math102, math102, eyed102	EYED102	required course not mapped to import rows
ced_curriculum_2025.org	ECED 402	prerequisites	Senior standing with no course left in the program		no course reference parsed
ced_curriculum_2025.org	ECED 404	prerequisites	complete all courses in semester I of the senior year		no course reference parsed
ced_curriculum_2025.org	PEDU 402	prerequisites	Senior standing with no more courses left for the student		no course reference parsed
ced_curriculum_2025.org	PEDU 404	prerequisites	Senior standing with no more courses left for the student		no course reference parsed
ced_curriculum_2025.org	BIOL 301	prereq_all	biol101, biol102, biol201, biol202	BIOL201	required course not mapped to import rows
ced_curriculum_2025.org	BIOL 302	prereq_all	biol101, biol102, biol201, biol202, biol301	BIOL201	required course not mapped to import rows
ced_curriculum_2025.org	BIOL 303	prereq_all	biol101, biol102, biol201, biol202	BIOL201	required course not mapped to import rows
ced_curriculum_2025.org	BIOL 304	prereq_all	biol101, biol102, biol201, biol203	BIOL201	required course not mapped to import rows
ced_curriculum_2025.org	BIOL 305	prereq_all	biol101, biol102, biol201, biol202	BIOL201	required course not mapped to import rows
ced_curriculum_2025.org	BIOL 441	prereq_all	biol101, biol102, biol201, biol202, biol301, biol302	BIOL201	required course not mapped to import rows
ced_curriculum_2025.org	BIOL 405	prereq_all	biol101, biol102, biol201, biol202, biol301, biol302	BIOL201	required course not mapped to import rows
ced_curriculum_2025.org	EDEN 304	prereq_all	engl201, eden204, eden205, eden206, eden301, eden302, and 303	AND303	required course not mapped to import rows
ced_curriculum_2025.org	EDEN 305	prereq_all	engl201, eden204, eden205, eden206, eden301, eden302, and303	AND303	required course not mapped to import rows
ced_curriculum_2025.org	EDEN 405	prereq_all	engl201, eden204, eden205, eden206, eden301, eden302, eden303, eden304, eden305, and 306	AND306	required course not mapped to import rows
ced_curriculum_2025.org	EDEN 409	prereq_all	engl201, eden204, eden205, eden206, eden301, eden302, eden303, eden304, eden305, and 306	AND306	required course not mapped to import rows
ced_curriculum_2025.org	MATH 410	prerequisites	no more courses left in the program		no course reference parsed
ced_curriculum_2025.org	GCED 302	prereq_all	gced301, gced303, educ305	EDUC305	required course not mapped to import rows
ced_curriculum_2025.org	GCED 305	prereq_all	gced201, gced202	GCED201	required course not mapped to import rows
ced_curriculum_2025.org	GCED 307	prereq_all	educ204, gced201, gced202	GCED201	required course not mapped to import rows
ced_curriculum_2025.org	GCED 404	prerequisites	Student must have satisfied conditions stated for practicum offering		no course reference parsed
cet_curriculum_2024.org	GENG 201	prerequisites	Entrance to Engineering		no course reference parsed
cet_curriculum_2024.org	GENG 203	prerequisites	Entrance level		no course reference parsed
cet_curriculum_2024.org	GENG 204	prerequisites	Sophomore standing		no course reference parsed
cet_curriculum_2024.org	GENG 303	prerequisites	Third Year Standing		no course reference parsed
cet_curriculum_2024.org	GENG 401	prerequisites	Fourth year standing		no course reference parsed
cet_curriculum_2024.org	CENG 303	prerequisites	Third year standing		no course reference parsed
cet_curriculum_2024.org	CENG 304	prerequisites	Third year standing		no course reference parsed
cet_curriculum_2024.org	CENG 400	prereq_all	Students should have passed 145 credits including All GE and EEDU courses taken and passed	PASSED145	required course not mapped to import rows; target course not mapped to any curriculum
cet_curriculum_2024.org	CENG 405	prerequisites	Senior level		no course reference parsed
cet_curriculum_2024.org	ELEC 501	prerequisites	Fifth year standing		no course reference parsed
cet_curriculum_2024.org	CENG 505	prerequisites	Fifth-year standing and approval of instructor		no course reference parsed
cet_curriculum_2024.org	EENG 303	prereq_all	eeng102	EENG102	required course not mapped to import rows
cet_curriculum_2024.org	EENG 308	prereq_all	eeng102, geng203	EENG102	required course not mapped to import rows
cet_curriculum_2024.org	EENG 310	prereq_all	eeng301, eeng303, eeng304, eeng305	EENG304	required course not mapped to import rows
cet_curriculum_2024.org	EENG 310	prereq_all	eeng301, eeng303, eeng304, eeng305	EENG305	required course not mapped to import rows
cet_curriculum_2024.org	EENG 312	prereq_all	eeng301, eeng303, eeng304, eeng305	EENG304	required course not mapped to import rows
cet_curriculum_2024.org	EENG 312	prereq_all	eeng301, eeng303, eeng304, eeng305	EENG305	required course not mapped to import rows
cet_curriculum_2024.org	EENG 400	prereq_all	Students must have completed 153 Credits/ including All GE and EEDU courses taken and passed/.	COMPLETED153	required course not mapped to import rows; target course not mapped to any curriculum
cet_curriculum_2024.org	EENG 401	prereq_all	eeng304, eeng302, eeng305	EENG304	required course not mapped to import rows
cet_curriculum_2024.org	EENG 401	prereq_all	eeng304, eeng302, eeng305	EENG305	required course not mapped to import rows
cet_curriculum_2024.org	EENG 407	prereq_all	math301, math302, geng203, eeng302, eeng304, eeng305, eeng306	EENG304	required course not mapped to import rows
cet_curriculum_2024.org	EENG 407	prereq_all	math301, math302, geng203, eeng302, eeng304, eeng305, eeng306	EENG305	required course not mapped to import rows
cet_curriculum_2024.org	EENG 408	prerequisites	Senior level standing		no course reference parsed
cet_curriculum_2024.org	EENG 409	prereq_all	eeng102, geng203, eeng303, math201	EENG102	required course not mapped to import rows
cet_curriculum_2024.org	EENG 513	prereq_all	eeng303, eeng305	EENG303	target course not mapped to any curriculum
cet_curriculum_2024.org	EENG 513	prereq_all	eeng303, eeng305	EENG305	required course not mapped to import rows; target course not mapped to any curriculum
cet_curriculum_2024.org	EENG 503	prereq_all	eeng402	EENG402	required course not mapped to import rows
cet_curriculum_2024.org	EENG 505	prerequisites	Graduating Senior standing.		no course reference parsed
cet_curriculum_2024.org	EENG 508	prereq_all	eeng402, eeng503	EENG402	required course not mapped to import rows
cet_curriculum_2024.org	EENG 509	prereq_all	eeng302, eeng304, eeng305	EENG304	required course not mapped to import rows
cet_curriculum_2024.org	EENG 509	prereq_all	eeng302, eeng304, eeng305	EENG305	required course not mapped to import rows
cet_curriculum_2024.org	EENG 511	prerequisites	Graduating Senior Standing		no course reference parsed
cet_curriculum_2024.org	EENG 512	prerequisites	Graduating Senior Standing		no course reference parsed
cet_curriculum_2024.org	MENG 302	prereq_all	math301, geng301, meng301, meng303	MENG301	required course not mapped to import rows
cet_curriculum_2024.org	MENG 303	prerequisites	Junior level standing		no course reference parsed
cet_curriculum_2024.org	MENG 304	prereq_all	meng401, meng403	MENG401	required course not mapped to import rows
cet_curriculum_2024.org	MENG 305	prereq_all	geng306, meng301, meng302	MENG301	required course not mapped to import rows
cet_curriculum_2024.org	MENG 400	prereq_all	Student must have completed 150 credits	COMPLETED150	required course not mapped to import rows; target course not mapped to any curriculum
cet_curriculum_2024.org	MENG 402	prereq_all	meng401, meng407, meng403	MENG401	required course not mapped to import rows
cet_curriculum_2024.org	MENG 403	prereq_all	math302, geng302, meng301, meng305	MENG301	required course not mapped to import rows
cet_curriculum_2024.org	MENG 409	prereq_all	math302, geng306, meng301, meng302, meng304	MENG301	required course not mapped to import rows
cet_curriculum_2024.org	MENG 501	prereq_all	meng411	MENG411	required course not mapped to import rows
cet_curriculum_2024.org	MENG 503	prereq_all	meng402, meng404, meng413	MENG413	required course not mapped to import rows
cet_curriculum_2024.org	MENG 505	prereq_all	meng402, meng404, meng406, meng408, meng410, meng412	MENG412	required course not mapped to import rows
cet_curriculum_2024.org	MENG 509	prereq_all	meng402, meng410, meng414, meng503	MENG402	target course not mapped to any curriculum
cet_curriculum_2024.org	MENG 509	prereq_all	meng402, meng410, meng414, meng503	MENG410	target course not mapped to any curriculum
cet_curriculum_2024.org	MENG 509	prereq_all	meng402, meng410, meng414, meng503	MENG414	required course not mapped to import rows; target course not mapped to any curriculum
